client_id,age,job,marital,education,credit_default,mortgage
1,56,housemaid,married,basic_4y,0,0
2,57,services,married,high_school,0,0
3,37,services,married,high_school,0,1
4,40,admin,married,basic_6y,0,0
5,56,services,married,high_school,0,0
6,45,services,married,basic_9y,0,0
7,59,admin,married,professional_course,0,0
8,41,blue_collar,married,,0,0
9,24,technician,single,professional_course,0,1
10,25,services,single,high_school,0,1
11,41,blue_collar,married,,0,0
12,25,services,single,high_school,0,1
13,29,blue_collar,single,high_school,0,0
14,57,housemaid,divorced,basic_4y,0,1
15,35,blue_collar,married,basic_6y,0,1
16,54,retired,married,basic_9y,0,1
17,35,blue_collar,married,basic_6y,0,1
18,46,blue_collar,married,basic_6y,0,1
19,50,blue_collar,married,basic_9y,0,1
20,39,management,single,basic_9y,0,0
21,30,unemployed,married,high_school,0,0
22,55,blue_collar,married,basic_4y,0,1
23,55,retired,single,high_school,0,1
24,41,technician,single,high_school,0,1
25,37,admin,married,high_school,0,1
26,35,technician,married,university_degree,0,0
27,59,technician,married,,0,1
28,39,self_employed,married,basic_9y,0,0
29,54,technician,single,university_degree,0,0
30,55,unknown,married,university_degree,0,0
31,46,admin,married,,0,0
32,59,technician,married,,0,1
33,49,blue_collar,married,,0,0
34,54,management,married,basic_4y,0,1
35,54,blue_collar,divorced,basic_4y,0,0
36,55,unknown,married,basic_4y,0,1
37,34,services,married,high_school,0,0
38,52,technician,married,basic_9y,0,1
39,41,admin,married,university_degree,0,1
40,56,technician,married,basic_4y,0,1
41,58,management,unknown,university_degree,0,1
42,32,entrepreneur,married,high_school,0,1
43,38,admin,single,professional_course,0,0
44,57,admin,married,university_degree,0,0
45,44,admin,married,university_degree,0,1
46,42,technician,single,professional_course,0,0
47,57,admin,married,university_degree,0,1
48,40,blue_collar,married,basic_9y,0,0
49,35,admin,married,university_degree,0,1
50,45,blue_collar,married,basic_9y,0,1
51,54,admin,married,high_school,0,0
52,39,housemaid,married,basic_4y,0,0
53,60,admin,married,high_school,0,0
54,53,admin,single,professional_course,0,0
55,55,blue_collar,married,basic_4y,0,0
56,55,technician,married,professional_course,0,1
57,50,management,married,university_degree,0,0
58,45,services,married,high_school,0,1
59,55,unemployed,married,professional_course,0,1
60,25,technician,single,university_degree,0,1
61,47,entrepreneur,married,university_degree,0,0
62,51,blue_collar,married,basic_9y,0,1
63,42,blue_collar,married,basic_6y,0,1
64,42,blue_collar,married,basic_6y,0,0
65,48,admin,married,high_school,0,0
